Version,Field Name,Level 1 (ROOT),Level 2,Level 3,Level 4,Level 5,Level 6,Description,Value Example,Data Type,Max Length,Mapping Type,QC-GRAB,Column1,Column2
1,SellingLocationId,SellingLocationId,,,,,,,,string,,None,,,
1,ExternalShipFromLocationId,ExternalShipFromLocationId,,,,,,,,string,,None,,,
1,TaxExemptId,TaxExemptId,,,,,,,,string,,None,,,
1,AddressId,AddressId,,,,,,Internal ID of address master,6d89479d94844b20b56f12009c2ad7,string,,None,,,
1,PurgeDate,,,PurgeDate,,,,,,integer,,None,,,
1,PaymentGroupId,,,PaymentGroupId,,,,,,string,,None,,,
1,AlternateOrderId,,,AlternateOrderId,,,,,,string,,None,,,
1,AlternateCurrencyCode,,,,AlternateCurrencyCode,,,,,string,,None,,,
1,ConversionRate,,,,ConversionRate,,,,,string,,None,,,
1,AlternateCurrencyAmount,,,,AlternateCurrencyAmount,,,,,integer,,None,,,
1,AccountNumber,,,,AccountNumber,,,,,string,,None,,,
1,AccountDisplayNumber,,,,AccountDisplayNumber,,,,,string,,None,,,
1,NameOnCard,,,,NameOnCard,,,,,string,,None,,,
1,SwipeData,,,,SwipeData,,,,,string,,None,,,
1,CardExpiryMonth,,,,CardExpiryMonth,,,,,string,,None,,,
1,CardExpiryYear,,,,CardExpiryYear,,,,,string,,None,,,
1,GiftCardPin,,,,GiftCardPin,,,,,string,,None,,,
1,CustomerSignature,,,,CustomerSignature,,,,,string,,None,,,
1,CustomerPaySignature,,,,CustomerPaySignature,,,,,string,,None,,,
1,ChangeAmount,,,,ChangeAmount,,,,,string,,None,,,
1,ChargeSequence,,,,ChargeSequence,,,,,string,,None,,,
1,EntryTypeId,,,,EntryTypeId,,,,,string,,None,,,
1,RoutingNumber,,,,RoutingNumber,,,,,string,,None,,,
1,RoutingDisplayNumber,,,,RoutingDisplayNumber,,,,,string,,None,,,
1,CheckNumber,,,,CheckNumber,,,,,string,,None,,,
1,DriversLicenseNumber,,,,DriversLicenseNumber,,,,,string,,None,,,
1,DriversLicenseState,,,,DriversLicenseState,,,,,string,,None,,,
1,DriversLicenseCountry,,,,DriversLicenseCountry,,,,,string,,None,,,
1,BusinessName,,,,BusinessName,,,,,string,,None,,,
1,BusinessTaxId,,,,BusinessTaxId,,,,,string,,None,,,
1,CheckQuantity,,,,CheckQuantity,,,,,string,,None,,,
1,OriginalAmount,,,,OriginalAmount,,,,,string,,None,,,
1,ParentOrderId,,,,ParentOrderId,,,,,string,,None,,,
1,ParentPaymentGroupId,,,,ParentPaymentGroupId,,,,,string,,None,,,
1,ParentPaymentMethodId,,,,ParentPaymentMethodId,,,,,string,,None,,,
1,GatewayAccountId,,,,GatewayAccountId,,,,,string,,None,,,
1,LocationId,,,,LocationId,,,,,string,,None,,,
1,TransactionReferenceId,,,,TransactionReferenceId,,,,,string,,None,,,
1,CapturedSource,,,,CapturedSource,,,,,string,,None,,,
1,ShopperReference,,,,ShopperReference,,,,,string,,None,,,
1,SuggestedAmount,,,,SuggestedAmount,,,,,string,,None,,,
1,PurgeDate,,,,PurgeDate,,,,,datetime,,None,,,
1,PurgeDate,,,,,PurgeDate,,,,datetime,,None,,,
1,AddressRef,,,,,,AddressRef,,,string,,None,,,
1,RequestedDate,,,,,RequestedDate,,,,datetime,,None,,,
1,FollowOnId,,,,,FollowOnId,,,,string,,None,,,
1,FollowOnToken,,,,,FollowOnToken,,,,string,,None,,,
1,TransactionExpiryDate,,,,,TransactionExpiryDate,,,,datetime,,None,,,
1,FollowOnProcessedAmount,,,,,FollowOnProcessedAmount,,,,string,,None,,,
1,RemainingAttempts,,,,,RemainingAttempts,,,,string,,None,,,
1,FollowOnCount,,,,,FollowOnCount,,,,string,,None,,,
1,ExternalResponseId,,,,,ExternalResponseId,,,,string,,None,,,
1,ReasonId,,,,,ReasonId,,,,string,,None,,,
1,RemainingBalance,,,,,RemainingBalance,,,,string,,None,,,
1,ScheduledTimestamp,,,,,ScheduledTimestamp,,,,string,,None,,,
1,PaymentGroupId,,,,,PaymentGroupId,,,,string,,None,,,
1,StoreAndForwardNumber,,,,,StoreAndForwardNumber,,,,string,,None,,,
1,NetworkTransactionId,,,,,NetworkTransactionId,,,,string,,None,,,
1,UniqueTransactionId,,,,,UniqueTransactionId,,,,string,,None,,,
1,NotificationTimestamp,,,,,NotificationTimestamp,,,,datetime,,None,,,
1,AlternateOrderId,,,,,AlternateOrderId,,,,string,,None,,,
1,PurgeDate,,,,,PurgeDate,,,,datetime,,None,,,
1,PaymentTransactionEMVTags,,,,,PaymentTransactionEMVTags,,,,string,,None,,,
1,AuthorizationType,,,,,AuthorizationType,,,,string,,None,,,
1,ProcessingMode,,,,,ProcessingMode,,,,string,,None,,,
1,InteractionMode,,,,,InteractionMode,,,,string,,None,,,
1,NotificationStatus,,,,,NotificationStatus,,,,string,,None,,,
1,AccountType,,,,AccountType,,,,,string,,None,,,
1,PaymentCategory,,,,PaymentCategory,,,,,string,,None,,,
1,InstallmentPlan,,,,,InstallmentPlan,,,,string,,None,,,
1,InstallmentRate,,,,,InstallmentRate,,,,string,,None,,,
1,JdaDiscCode,,,,JdaDiscCode,,,,,string,,None,,,
1,ChargeDesc,,,,ChargeDesc,,,,,string,,None,,,
1,CRCTaxAmount,,,,CRCTaxAmount,,,,,string,,None,,,
1,TaxRate,,,,TaxRate,,,,,string,,None,,,
1,MKPPromotionId,,,,MKPPromotionId,,,,,string,,None,,,
1,AutoSettlement,,,,AutoSettlement,,,,,string,,None,,,
1,T1ConversionRate,,,,T1ConversionRate,,,,,string,,None,,,
1,Extended1,,,,Extended1,,,,,string,,None,,,
1,T1RedemptionPoint,,,,T1RedemptionPoint,,,,,string,,None,,,
1,CustRef,,,,CustRef,,,,,string,,None,,,
1,T1Number,,,,T1Number,,,,,string,,None,,,
1,T1PhoneNo,,,,T1PhoneNo,,,,,string,,None,,,
1,AVSReasonId,AVSReasonId,,,,,,,,string,,None,,,
1,ChargeSubTypeId,,ChargeSubTypeId,,,,,,,string,,None,,,
1,Extended,,Extended,,,,,,,string,,None,,,
1,RelatedChargeType,,RelatedChargeType,,,,,,,string,,None,,,
1,RelatedChargeDetailId,,RelatedChargeDetailId,,,,,,,string,,None,,,
1,DisplaySequence,,DisplaySequence,,,,,,,string,,None,,,
1,NoteCode,,NoteCode,,,,,,,string,,None,,,
1,AlternateCurrencyAmount,,AlternateCurrencyAmount,,,,,,,string,,None,,,
1,RoutingDisplayNumber,,RoutingDisplayNumber,,,,,,,string,,None,,,
1,FrankedCheckQuantity,,FrankedCheckQuantity,,,,,,,string,,None,,,
1,BusinessName,,BusinessName,,,,,,,string,,None,,,
1,EntryTypeId,,EntryTypeId,,,,,,,string,,None,,,
1,CheckQuantity,,CheckQuantity,,,,,,,string,,None,,,
1,AlternateCurrencyCode,,AlternateCurrencyCode,,,,,,,string,,None,,,
1,CheckNumber,,CheckNumber,,,,,,,string,,None,,,
1,OriginalAmount,,OriginalAmount,,,,,,,string,,None,,,
1,ChargeSequence,,ChargeSequence,,,,,,,string,,None,,,
1,AccountTypeId,,AccountTypeId,,,,,,,string,,None,,,
1,ConversionRate,,ConversionRate,,,,,,,string,,None,,,
1,ChangeAmount,,ChangeAmount,,,,,,,string,,None,,,
1,StatusId,,StatusId,,,,,,,string,,None,,,
1,CurrentPreSettleAmount,,CurrentPreSettleAmount,,,,,,,string,,None,,,
1,HasAlerts,HasAlerts,,,,,,,,string,,None,,,
1,DeliveryMethodSubType,DeliveryMethodSubType,,,,,,,,string,,None,,,
1,PickupExpiryDate,PickupExpiryDate,,,,,,,,datetime,,None,,,
1,TaxExemptReasonId,TaxExemptReasonId,,,,,,,,string,,None,,,
1,InvoiceId,InvoiceId,,,,,,,,string,,None,,,
1,CustomerCommPref,CustomerCommPref,,,,,,,,string,,None,,,
1,ReleaseType,ReleaseType,,,,,,,,string,,None,,,
1,ExternalOrganizationId,ExternalOrganizationId,,,,,,,,string,,None,,,
1,ShipToLocationId,ShipToLocationId,,,,,,,,string,,None,,,
1,ServiceLevelCode,,ServiceLevelCode,,,,,,,string,,None,,,
1,LineTypeId,,LineTypeId,,,,,,,string,,None,,,
1,RefundPrice,,RefundPrice,,,,,,,string,,None,,,
1,TaxOverrideValue,,TaxOverrideValue,,,,,,,string,,None,,,
1,ItemWebURL,,ItemWebURL,,,,,,,string,,None,,,
1,SellingLocationId,,SellingLocationId,,,,,,,string,,None,,,
1,ParentOrderLineId,,ParentOrderLineId,,,,,,,string,,None,,,
1,ParentOrderId,,ParentOrderId,,,,,,,string,,None,,,
1,ItemStyle,,ItemStyle,,,,,,,string,,None,,,
1,TaxExemptId,,TaxExemptId,,,,,,,string,,None,,,
1,Priority,,Priority,,,,,,,string,,None,,,
1,TaxOverrideTypeId,,TaxOverrideTypeId,,,,,,,string,,None,,,
1,ParentOrderLineTypeId,,ParentOrderLineTypeId,,,,,,,string,,None,,,
1,PromisedDeliveryDate,,PromisedDeliveryDate,,,,,,,datetime,,None,,,
1,HeaderChargeDetailId,,,HeaderChargeDetailId,,,,,,string,,None,,,
1,ChargeSubTypeId,,,ChargeSubTypeId,,,,,,string,,None,,,
1,Extended,,,Extended,,,,,,string,,None,,,
1,RelatedChargeType,,,RelatedChargeType,,,,,,string,,None,,,
1,RelatedChargeDetailId,,,RelatedChargeDetailId,,,,,,string,,None,,,
1,LatestDeliveryDate,,LatestDeliveryDate,,,,,,,datetime,,None,,,
1,DisplaySequence,,,DisplaySequence,,,,,,string,,None,,,
1,NoteCode,,,NoteCode,,,,,,string,,None,,,
1,StreetDate,,StreetDate,,,,,,,datetime,,None,,,
1,GiftCardValue,,GiftCardValue,,,,,,,string,,None,,,
1,HazmatCode,,HazmatCode,,,,,,,string,,None,,,
1,AlternateOrderLineId,,AlternateOrderLineId,,,,,,,string,,None,,,
1,TaxEngineId,,,TaxEngineId,,,,,,string,,None,,,
1,JurisdictionTypeId,,,JurisdictionTypeId,,,,,,string,,None,,,
1,TaxRequestTypeId,,,TaxRequestTypeId,,,,,,string,,None,,,
1,Jurisdiction,,,Jurisdiction,,,,,,string,,None,,,
1,HeaderTaxDetailId,,,HeaderTaxDetailId,,,,,,string,,None,,,
1,TaxDate,,,TaxDate,,,,,,datetime,,None,,,
1,DoNotShipBeforeDate,,DoNotShipBeforeDate,,,,,,,datetime,,None,,,
1,LastPossibleDeliveryDate,,LastPossibleDeliveryDate,,,,,,,datetime,,None,,,
1,ItemSeason,,ItemSeason,,,,,,,string,,None,,,
1,ItemColorDescription,,ItemColorDescription,,,,,,,string,,None,,,
1,ItemBarCode,,ItemBarCode,,,,,,,string,,None,,,
1,AddressName,,,,AddressName,,,,,string,,None,,,
1,AvsReason,,,,AvsReason,,,,,string,,None,,,
1,AddressRef,,,,,AddressRef,,,,string,,None,,,
1,PromotionId,,,,,PromotionId,,,,string,,None,,,
,,,,,,AbsorbBy,,,,string,,None,,,
1,TaxRate,,,,,TaxRate,,,,integer,,None,,,
1,MKPPromotionId,,,,,MKPPromotionId,,,,string,,None,,,
