PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
,OriginalPayload.ServiceLevelCode,String (10),Default: 'STD',No,STD
CustomerEmail,OriginalPayload.Email,String (100),Direct mapping,No,undefined
,OriginalPayload.MaxFulfillmentStatusId,String (10),Default: '3000',No,3000
OrderHold[0].StatusId,OriginalPayload.IsOnHold,Boolean,StatusId != '2000',Yes,false
,OriginalPayload.IsConfirmed,Boolean,Default: true,Yes,true
Calculated,OriginalPayload.OrderSubtotal,Number,Sum of OrderLine subtotals,Yes,157
,OriginalPayload.ModeId,String (50),Default: null,No,null
,OriginalPayload.SellingLocationId,String (50),Default: null,No,null
CurrencyCode,OriginalPayload.CurrencyCode,String (3),Direct mapping,Yes,THB
CustomerPhone,OriginalPayload.CustomerPhone,String (20),Direct mapping,No,0101010122
CustomerFirstName,OriginalPayload.CustomerFirstName,String (100),Direct mapping,Yes,Grab Customer
Calculated,OriginalPayload.ReleaseTotal,Number,OrderSubtotal + TotalCharges,Yes,157
OrderExtension1.Extended.CancelAllowed,OriginalPayload.ExtendedFields.CancelAllowed,Boolean,Direct mapping,No,true
Calculated,OriginalPayload.TotalCharges,Number,Sum of charges,Yes,0
,OriginalPayload.ExternalShipFromLocationId,String (50),Default: null,No,null
,OriginalPayload.TaxExemptId,String (50),Default: null,No,null
OrderLine[].ShipToAddress.AddressId,OriginalPayload.AddressId,String (50),Generated ID,Yes,6d89479d94844b20b56f12009c2ad7
,OriginalPayload.Order.Payment[].Actions,Object,Empty object,No,{}
,OriginalPayload.Order.Payment[].PK,String (50),Generated ID,Yes,7543960027815601342
,OriginalPayload.Order.Payment[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].CreatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.781
,OriginalPayload.Order.Payment[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].UpdatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.891
,OriginalPayload.Order.Payment[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].OrgId,String (10),Direct mapping,Yes,CFR
,OriginalPayload.Order.Payment[].PurgeDate,Date,Default: null,No,null
OrderId,OriginalPayload.Order.Payment[].OrderId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentGroupId,String (50),Default: null,No,null
CustomerId,OriginalPayload.Order.Payment[].CustomerId,String (50),Direct mapping,No,null
,OriginalPayload.Order.Payment[].IsCancelled,Boolean,Default: false,Yes,false
AlternateOrderId,OriginalPayload.Order.Payment[].AlternateOrderId,String (50),Direct mapping,No,null
,OriginalPayload.Order.Payment[].IsAnonymized,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].Actions,Object,Empty object,No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].PK,String (50),Generated ID,Yes,7543960028655638704
