PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
,OriginalPayload.ServiceLevelCode,String (10),Default: 'STD',No,STD
CustomerEmail,OriginalPayload.Email,String (100),Direct mapping from CustomerEmail,No,undefined
,OriginalPayload.MaxFulfillmentStatusId,String (10),Default: '3000',No,3000
OrderHold[0].StatusId,OriginalPayload.IsOnHold,Boolean,IF(OrderHold[0].StatusId != '2000') THEN true ELSE false,Yes,false
,OriginalPayload.IsConfirmed,Boolean,Default: true,Yes,true
OrderLine[],OriginalPayload.OrderSubtotal,Number,SUM(OrderLine[].Quantity * OrderLine[].UnitPrice),Yes,157
,OriginalPayload.ModeId,String (50),Default: null,No,null
,OriginalPayload.SellingLocationId,String (50),Default: null,No,null
CurrencyCode,OriginalPayload.CurrencyCode,String (3),Direct mapping from CurrencyCode,Yes,THB
CustomerPhone,OriginalPayload.CustomerPhone,String (20),Direct mapping from CustomerPhone,No,0101010122
CustomerFirstName,OriginalPayload.CustomerFirstName,String (100),Direct mapping from CustomerFirstName,Yes,Grab Customer
OrderLine[] + OrderChargeDetail[],OriginalPayload.ReleaseTotal,Number,SUM(OrderLine[].Quantity * OrderLine[].UnitPrice) + SUM(OrderChargeDetail[].ChargeTotal),Yes,157
OrderExtension1.Extended.CancelAllowed,OriginalPayload.ExtendedFields.CancelAllowed,Boolean,Direct mapping from OrderExtension1.Extended.CancelAllowed,No,true
OrderChargeDetail[],OriginalPayload.TotalCharges,Number,SUM(OrderChargeDetail[].ChargeTotal WHERE ChargeTypeId != 'Discount'),Yes,0
,OriginalPayload.ExternalShipFromLocationId,String (50),Default: null,No,null
,OriginalPayload.TaxExemptId,String (50),Default: null,No,null
OrderLine[].ShipToAddress,OriginalPayload.AddressId,String (50),Generate MD5 hash of ShipToAddress concatenated fields,Yes,6d89479d94844b20b56f12009c2ad7
,OriginalPayload.Order.Payment[].Actions,Object,Default: empty object {},No,{}
,OriginalPayload.Order.Payment[].PK,String (50),Generate unique ID using timestamp + random,Yes,7543960027815601342
,OriginalPayload.Order.Payment[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].CreatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.781
,OriginalPayload.Order.Payment[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].UpdatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.891
,OriginalPayload.Order.Payment[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].OrgId,String (10),Direct mapping from OrgId,Yes,CFR
,OriginalPayload.Order.Payment[].PurgeDate,Date,Default: null,No,null
OrderId,OriginalPayload.Order.Payment[].OrderId,String (50),Direct mapping from OrderId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentGroupId,String (50),Default: null,No,null
CustomerId,OriginalPayload.Order.Payment[].CustomerId,String (50),Direct mapping from CustomerId (can be null),No,null
,OriginalPayload.Order.Payment[].IsCancelled,Boolean,Default: false,Yes,false
AlternateOrderId,OriginalPayload.Order.Payment[].AlternateOrderId,String (50),Direct mapping from AlternateOrderId,No,null
,OriginalPayload.Order.Payment[].IsAnonymized,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].Actions,Object,Default: empty object {},No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].PK,String (50),Generate unique ID using timestamp + random,Yes,7543960028655638704
,OriginalPayload.Order.Payment[].PaymentMethod[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].CreatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.865
,OriginalPayload.Order.Payment[].PaymentMethod[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].UpdatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:33.687
,OriginalPayload.Order.Payment[].PaymentMethod[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].OrgId,String (10),Direct mapping from OrgId,Yes,CFR
Payment[].PaymentMethod[].PaymentMethodId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentMethodId,Yes,fcf8e04e-f409-408d-b103-233af73af95e
Payment[].PaymentMethod[].CurrencyCode,OriginalPayload.Order.Payment[].PaymentMethod[].CurrencyCode,String (3),Direct mapping from Payment[].PaymentMethod[].CurrencyCode,Yes,THB
,OriginalPayload.Order.Payment[].PaymentMethod[].AlternateCurrencyCode,String (3),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ConversionRate,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AlternateCurrencyAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].NameOnCard,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].SwipeData,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CardExpiryMonth,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CardExpiryYear,String (4),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].GiftCardPin,String (20),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CustomerSignature,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CustomerPaySignature,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ChangeAmount,Number,Default: null,No,null
